char	codepoint	block	sources
𣟵	u+237f5	CJK Unified Ideographs Extension B	li_1959;li_lim_1992
𣢁	u+23881	CJK Unified Ideographs Extension B	li_lim_1992
𣢣	u+238a3	CJK Unified Ideographs Extension B	li_lim_1992
𣭾	u+23b7e	CJK Unified Ideographs Extension B	li_1959
𣴨	u+23d28	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𣵀	u+23d40	CJK Unified Ideographs Extension B	ghou_lim_1983
𣶍	u+23d8d	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𣽏	u+23f4f	CJK Unified Ideographs Extension B	li_1959
𣿅	u+23fc5	CJK Unified Ideographs Extension B	lim_1997
𤄷	u+24137	CJK Unified Ideographs Extension B	li_1959
𤆬	u+241ac	CJK Unified Ideographs Extension B	zeng_1991
𤏡	u+243e1	CJK Unified Ideographs Extension B	ghou_lim_1983
𤞚	u+2479a	CJK Unified Ideographs Extension B	ghou_lim_1983;li_lim_1992;lim_1997
𤷕	u+24dd5	CJK Unified Ideographs Extension B	li_lim_1992
𤷗	u+24dd7	CJK Unified Ideographs Extension B	li_lim_1992
𤷫	u+24deb	CJK Unified Ideographs Extension B	li_1959;li_lim_1992
𤼐	u+24f10	CJK Unified Ideographs Extension B	li_lim_1992
𥆌	u+2518c	CJK Unified Ideographs Extension B	li_lim_1992
𥉐	u+25250	CJK Unified Ideographs Extension B	li_1959
𥍉	u+25349	CJK Unified Ideographs Extension B	li_1959
𥎱	u+253b1	CJK Unified Ideographs Extension B	ghou_lim_1983
𥑐	u+25450	CJK Unified Ideographs Extension B	li_1959
𥒰	u+254b0	CJK Unified Ideographs Extension B	zeng_1991
𥕦	u+25566	CJK Unified Ideographs Extension B	ghou_lim_1983
𥱊	u+25c4a	CJK Unified Ideographs Extension B	li_1959
𥴴	u+25d34	CJK Unified Ideographs Extension B	li_lim_1992
𥸱	u+25e31	CJK Unified Ideographs Extension B	ghou_lim_1983
𥹂	u+25e42	CJK Unified Ideographs Extension B	zeng_1991
𥺴	u+25eb4	CJK Unified Ideographs Extension B	ghou_lim_1983
𦃘	u+260d8	CJK Unified Ideographs Extension B	li_lim_1992
𦅇	u+26147	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𦢊	u+2688a	CJK Unified Ideographs Extension B	li_lim_1992
𦭶	u+26b76	CJK Unified Ideographs Extension B	ghou_lim_1983
𦮷	u+26bb7	CJK Unified Ideographs Extension B	ghou_lim_1983
𧊭	u+272ad	CJK Unified Ideographs Extension B	li_1959
𧌊	u+2730a	CJK Unified Ideographs Extension B	ghou_lim_1983;li_1959
𧐔	u+27414	CJK Unified Ideographs Extension B	ghou_lim_1983
𧙥	u+27665	CJK Unified Ideographs Extension B	li_1959
𧝞	u+2775e	CJK Unified Ideographs Extension B	ghou_lim_1983
𧟄	u+277c4	CJK Unified Ideographs Extension B	ghou_lim_1983
𧢢	u+278a2	CJK Unified Ideographs Extension B	li_lim_1992
𧬨	u+27b28	CJK Unified Ideographs Extension B	lim_1997
𧭈	u+27b48	CJK Unified Ideographs Extension B	lim_1997
𧰵	u+27c35	CJK Unified Ideographs Extension B	lim_1997
𧳟	u+27cdf	CJK Unified Ideographs Extension B	li_lim_1992
𧻓	u+27ed3	CJK Unified Ideographs Extension B	li_lim_1992
𧿉	u+27fc9	CJK Unified Ideographs Extension B	li_1959
𧿼	u+27ffc	CJK Unified Ideographs Extension B	ghou_lim_1983
𨁷	u+28077	CJK Unified Ideographs Extension B	li_1959
𨂿	u+280bf	CJK Unified Ideographs Extension B	lim_1997
𨄮	u+2812e	CJK Unified Ideographs Extension B	ghou_lim_1983;lim_1997
𨇗	u+281d7	CJK Unified Ideographs Extension B	li_1959
𨉖	u+28256	CJK Unified Ideographs Extension B	li_1959
𨍹	u+28379	CJK Unified Ideographs Extension B	li_lim_1992
𨓈	u+284c8	CJK Unified Ideographs Extension B	lim_1997
𨻧	u+28ee7	CJK Unified Ideographs Extension B	ghou_lim_1983
𨻼	u+28efc	CJK Unified Ideographs Extension B	li_1959
𩁺	u+2907a	CJK Unified Ideographs Extension B	li_lim_1992
𩄽	u+2913d	CJK Unified Ideographs Extension B	li_1959
𩅉	u+29149	CJK Unified Ideographs Extension B	li_1959
𩐅	u+29405	CJK Unified Ideographs Extension B	ghou_lim_1983
𩓐	u+294d0	CJK Unified Ideographs Extension B	ghou_lim_1983
𩩍	u+29a4d	CJK Unified Ideographs Extension B	li_lim_1992
𩭲	u+29b72	CJK Unified Ideographs Extension B	ghou_lim_1983
𩶱	u+29db1	CJK Unified Ideographs Extension B	li_lim_1992
𩷽	u+29dfd	CJK Unified Ideographs Extension B	ghou_lim_1983
𪃿	u+2a0ff	CJK Unified Ideographs Extension B	li_1959
𪉿	u+2a27f	CJK Unified Ideographs Extension B	li_lim_1992;lim_1997
𪭪	u+2ab6a	CJK Unified Ideographs Extension C	li_1959
𪰍	u+2ac0d	CJK Unified Ideographs Extension C	li_1959
𫀸	u+2b038	CJK Unified Ideographs Extension C	li_1959
𫊬	u+2b2ac	CJK Unified Ideographs Extension C	li_1959
𫎱	u+2b3b1	CJK Unified Ideographs Extension C	li_lim_1992
𫜦	u+2b726	CJK Unified Ideographs Extension C	li_1959
𫢗	u+2b897	CJK Unified Ideographs Extension E	li_1959
𫩷	u+2ba77	CJK Unified Ideographs Extension E	li_1959;zeng_1991
𫰇	u+2bc07	CJK Unified Ideographs Extension E	zeng_1991
𫾚	u+2bf9a	CJK Unified Ideographs Extension E	zeng_1991
𬉸	u+2c278	CJK Unified Ideographs Extension E	li_lim_1992
𬓤	u+2c4e4	CJK Unified Ideographs Extension E	li_1959
𬠋	u+2c80b	CJK Unified Ideographs Extension E	li_1959
𬠕	u+2c815	CJK Unified Ideographs Extension E	li_1959
𬶼	u+2cdbc	CJK Unified Ideographs Extension E	li_1959
𭭖	u+2db56	CJK Unified Ideographs Extension F	li_lim_1992
𰇇	u+301c7	CJK Unified Ideographs Extension G	li_1959;lim_1997
𰉀	u+30240	CJK Unified Ideographs Extension G	li_1959
𰔖	u+30516	CJK Unified Ideographs Extension G	li_lim_1992
𰩭	u+30a6d	CJK Unified Ideographs Extension G	zeng_1991
